Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-11-18,1950.0,1955.0,1560.0,1560.8,1560.8,23955434,PAYTM.NS
2021-11-22,1509.0,1519.0,1271.0,1359.6,1359.6,25114710,PAYTM.NS
2021-11-23,1360.0,1525.0,1360.0,1494.7,1494.7,12954174,PAYTM.NS
2021-11-24,1503.0,1785.0,1502.95,1752.45,1752.45,21541021,PAYTM.NS
2021-11-25,1766.7,1873.7,1711.1,1798.75,1798.75,13018344,PAYTM.NS
2021-11-26,1760.0,1832.0,1663.0,1782.6,1782.6,6527364,PAYTM.NS
2021-11-29,1700.0,1810.0,1700.0,1736.45,1736.45,4564112,PAYTM.NS
2021-11-30,1729.95,1770.0,1678.2,1699.6,1699.6,2200149,PAYTM.NS
2021-12-01,1715.0,1725.0,1629.15,1636.7,1636.7,1294466,PAYTM.NS
2021-12-02,1642.0,1671.65,1592.0,1600.85,1600.85,1089716,PAYTM.NS
2021-12-03,1615.0,1698.0,1601.0,1648.35,1648.35,1322036,PAYTM.NS
2021-12-06,1658.0,1680.05,1598.7,1604.45,1604.45,632800,PAYTM.NS
2021-12-07,1623.35,1635.0,1571.0,1577.5,1577.5,631249,PAYTM.NS
2021-12-08,1590.25,1610.0,1546.25,1553.4,1553.4,726491,PAYTM.NS
2021-12-09,1550.0,1644.7,1525.1,1593.95,1593.95,2849040,PAYTM.NS
2021-12-10,1605.0,1609.0,1563.0,1567.55,1567.55,845711,PAYTM.NS
2021-12-13,1578.0,1578.75,1546.1,1555.05,1555.05,740610,PAYTM.NS
2021-12-14,1547.0,1555.05,1490.75,1496.05,1496.05,1386088,PAYTM.NS
2021-12-15,1421.3,1429.95,1296.0,1379.95,1379.95,13139593,PAYTM.NS
2021-12-16,1435.0,1435.0,1390.55,1399.35,1399.35,2323522,PAYTM.NS
2021-12-17,1411.0,1411.0,1307.0,1321.0,1321.0,2503637,PAYTM.NS
2021-12-20,1321.0,1327.6,1290.0,1304.0,1304.0,1740923,PAYTM.NS
2021-12-21,1306.0,1348.95,1306.0,1311.45,1311.45,995207,PAYTM.NS
2021-12-22,1348.1,1350.0,1330.55,1342.2,1342.2,966463,PAYTM.NS
2021-12-23,1358.45,1385.0,1344.0,1348.8,1348.8,1268283,PAYTM.NS
2021-12-24,1348.7,1381.0,1331.15,1369.55,1369.55,1340599,PAYTM.NS
2021-12-27,1365.0,1365.35,1335.3,1344.95,1344.95,717268,PAYTM.NS
2021-12-28,1350.0,1364.2,1345.0,1353.5,1353.5,1112292,PAYTM.NS
2021-12-29,1353.5,1379.15,1340.0,1341.55,1341.55,1096725,PAYTM.NS
2021-12-30,1330.0,1350.0,1325.1,1327.95,1327.95,806752,PAYTM.NS
2021-12-31,1336.0,1347.8,1330.05,1334.55,1334.55,407521,PAYTM.NS
2022-01-03,1335.0,1346.85,1335.0,1339.8,1339.8,502075,PAYTM.NS
2022-01-04,1350.0,1350.0,1313.0,1317.75,1317.75,1588242,PAYTM.NS
2022-01-05,1323.5,1325.7,1285.35,1288.35,1288.35,1731917,PAYTM.NS
2022-01-06,1287.0,1287.0,1251.0,1254.05,1254.05,1765486,PAYTM.NS
2022-01-07,1265.0,1265.0,1230.0,1231.6,1231.6,1807539,PAYTM.NS
2022-01-10,1230.0,1230.0,1152.05,1158.05,1158.05,4560745,PAYTM.NS
2022-01-11,1165.0,1215.0,1113.65,1119.65,1119.65,6462743,PAYTM.NS
2022-01-12,1124.0,1133.85,1075.0,1082.7,1082.7,6400253,PAYTM.NS
2022-01-13,1085.0,1087.9,1025.0,1031.8,1031.8,5750658,PAYTM.NS
2022-01-14,1025.0,1128.0,1000.0,1118.6,1118.6,16212066,PAYTM.NS
2022-01-17,1127.7,1145.9,1092.0,1105.3,1105.3,5521603,PAYTM.NS
2022-01-18,1105.5,1118.45,1030.0,1041.65,1041.65,4933836,PAYTM.NS
2022-01-19,1044.85,1051.9,990.0,997.35,997.35,7289774,PAYTM.NS
2022-01-20,1013.0,1036.1,990.0,995.35,995.35,4846568,PAYTM.NS
2022-01-21,995.05,999.3,952.3,960.3,960.3,4328259,PAYTM.NS
2022-01-24,960.3,960.3,881.05,917.45,917.45,7942445,PAYTM.NS
2022-01-25,900.0,938.0,875.0,914.8,914.8,6091452,PAYTM.NS
2022-01-27,904.0,913.0,881.0,893.7,893.7,2459507,PAYTM.NS
2022-01-28,900.4,923.9,900.0,903.05,903.05,2209828,PAYTM.NS
2022-01-31,920.0,932.0,911.0,916.85,916.85,1609589,PAYTM.NS
2022-02-01,925.0,977.0,921.2,965.6,965.6,5469324,PAYTM.NS
2022-02-02,975.0,994.0,950.1,957.1,957.1,2672904,PAYTM.NS
2022-02-03,959.0,959.0,940.05,944.5,944.5,1410694,PAYTM.NS
2022-02-04,950.35,961.9,946.05,953.3,953.3,1272194,PAYTM.NS
2022-02-07,941.0,984.5,881.3,957.55,957.55,3854849,PAYTM.NS
2022-02-08,965.75,976.75,931.75,937.95,937.95,1760398,PAYTM.NS
2022-02-09,948.75,955.0,936.2,941.5,941.5,833193,PAYTM.NS
2022-02-10,958.75,958.75,935.75,938.35,938.35,1036415,PAYTM.NS
2022-02-11,933.0,934.45,903.0,906.5,906.5,1272179,PAYTM.NS
2022-02-14,895.95,895.95,860.0,863.5,863.5,1866242,PAYTM.NS
2022-02-15,874.0,884.45,840.0,851.5,851.5,2446406,PAYTM.NS
2022-02-16,865.0,883.3,856.0,861.35,861.35,2793265,PAYTM.NS
2022-02-17,865.0,869.8,845.25,849.95,849.95,1362229,PAYTM.NS
2022-02-18,844.8,848.0,831.0,833.4,833.4,1325802,PAYTM.NS
2022-02-21,832.5,834.0,805.0,807.7,807.7,1975577,PAYTM.NS
2022-02-22,800.0,834.65,785.0,815.9,815.9,3701578,PAYTM.NS
2022-02-23,823.0,837.05,815.25,821.95,821.95,1575013,PAYTM.NS
2022-02-24,790.0,802.85,771.15,777.75,777.75,1917591,PAYTM.NS
2022-02-25,801.1,806.7,785.8,789.35,789.35,1460303,PAYTM.NS
2022-02-28,785.8,806.9,772.4,798.1,798.1,1334742,PAYTM.NS
2022-03-02,789.0,806.65,783.55,797.2,797.2,1697859,PAYTM.NS
2022-03-03,805.45,817.45,791.75,796.3,796.3,1254749,PAYTM.NS
2022-03-04,787.0,798.55,782.25,784.85,784.85,1020058,PAYTM.NS
2022-03-07,774.85,778.0,751.0,753.45,753.45,1157890,PAYTM.NS
2022-03-08,753.0,764.95,728.05,737.75,737.75,1808389,PAYTM.NS
2022-03-09,750.0,759.8,742.1,749.85,749.85,1399649,PAYTM.NS
2022-03-10,766.5,795.8,761.0,775.6,775.6,2236562,PAYTM.NS
2022-03-11,771.0,781.0,766.6,775.05,775.05,919363,PAYTM.NS
2022-03-14,675.0,719.0,661.5,674.8,674.8,15155319,PAYTM.NS
2022-03-15,695.05,703.35,584.55,592.45,592.45,23922506,PAYTM.NS
2022-03-16,597.0,648.65,572.0,634.05,634.05,33733481,PAYTM.NS
2022-03-17,633.0,637.0,590.0,597.05,597.05,16758410,PAYTM.NS
2022-03-21,595.0,595.0,560.1,565.7,565.7,12853207,PAYTM.NS
2022-03-22,565.75,590.45,540.35,544.0,544.0,26111441,PAYTM.NS
2022-03-23,552.0,562.0,521.0,524.3,524.3,8888824,PAYTM.NS
2022-03-24,522.0,595.0,521.1,574.35,574.35,24014616,PAYTM.NS
2022-03-25,577.6,588.0,541.15,546.0,546.0,8790875,PAYTM.NS
2022-03-28,552.0,554.0,532.8,535.55,535.55,3748018,PAYTM.NS
2022-03-29,540.0,546.9,523.5,524.8,524.8,4147495,PAYTM.NS
2022-03-30,530.0,549.05,529.05,541.3,541.3,5146752,PAYTM.NS
2022-03-31,546.7,548.85,525.5,528.45,528.45,4345898,PAYTM.NS
2022-04-01,532.0,582.45,530.0,571.3,571.3,15351166,PAYTM.NS
2022-04-04,579.0,619.9,572.4,610.55,610.55,15909548,PAYTM.NS
2022-04-05,613.75,629.25,603.1,609.05,609.05,8883858,PAYTM.NS
2022-04-06,602.95,648.9,595.1,637.2,637.2,17324330,PAYTM.NS
2022-04-07,648.0,657.4,615.6,624.15,624.15,7970783,PAYTM.NS
2022-04-08,627.0,634.4,613.6,616.95,616.95,4395328,PAYTM.NS
2022-04-11,619.0,699.0,616.5,687.65,687.65,21571690,PAYTM.NS
2022-04-12,691.0,719.7,678.75,699.1,699.1,20061815,PAYTM.NS
2022-04-13,702.7,713.1,685.25,691.2,691.2,6132101,PAYTM.NS
2022-04-18,682.7,683.45,654.3,661.35,661.35,4968319,PAYTM.NS
2022-04-19,672.0,694.5,634.0,656.65,656.65,8060454,PAYTM.NS
2022-04-20,660.0,674.5,636.3,639.35,639.35,5258416,PAYTM.NS
2022-04-21,653.95,659.25,638.4,641.15,641.15,3304115,PAYTM.NS
2022-04-22,644.6,654.9,622.3,625.6,625.6,4460340,PAYTM.NS
2022-04-25,620.0,620.0,596.5,599.05,599.05,4351211,PAYTM.NS
2022-04-26,610.0,623.0,604.0,613.4,613.4,4758850,PAYTM.NS
2022-04-27,609.4,609.45,590.0,592.1,592.1,3000929,PAYTM.NS
2022-04-28,600.0,603.75,580.4,582.25,582.25,3173879,PAYTM.NS
2022-04-29,589.65,595.25,580.0,581.65,581.65,2695346,PAYTM.NS
2022-05-02,577.85,608.35,573.1,601.1,601.1,5757317,PAYTM.NS
2022-05-04,606.95,608.7,580.0,583.2,583.2,3216143,PAYTM.NS
2022-05-05,590.0,592.8,572.0,575.2,575.2,2061060,PAYTM.NS
2022-05-06,561.0,576.0,546.65,568.0,568.0,3140474,PAYTM.NS
2022-05-09,563.7,563.7,553.0,556.2,556.2,1721887,PAYTM.NS
2022-05-10,558.2,573.0,535.0,545.8,545.8,2371281,PAYTM.NS
2022-05-11,555.0,555.0,518.55,530.6,530.6,3062907,PAYTM.NS
2022-05-12,526.0,526.9,510.05,515.9,515.9,2218786,PAYTM.NS
2022-05-13,523.0,555.75,517.05,543.15,543.15,4288609,PAYTM.NS
2022-05-16,555.0,599.4,547.6,591.5,591.5,5561715,PAYTM.NS
