Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-08-30,5.28,5.35,4.7,4.71,4.71,4266400,ENPH
2018-08-31,4.69,4.91,4.61,4.89,4.89,1743500,ENPH
2018-09-04,4.86,4.96,4.76,4.89,4.89,1898300,ENPH
2018-09-05,4.89,4.89,4.53,4.61,4.61,2269800,ENPH
2018-09-06,4.61,4.68,4.38,4.43,4.43,1808400,ENPH
2018-09-07,4.4,4.68,4.35,4.45,4.45,2173100,ENPH
2018-09-10,4.46,4.51,4.38,4.42,4.42,1904200,ENPH
2018-09-11,4.42,4.58,4.41,4.47,4.47,1151700,ENPH
2018-09-12,4.49,4.52,4.33,4.41,4.41,1885400,ENPH
2018-09-13,4.39,4.5,4.07,4.1,4.1,3476800,ENPH
2018-09-14,4.11,4.24,3.97,4.03,4.03,2876000,ENPH
2018-09-17,4.01,4.03,3.7,3.89,3.89,4584400,ENPH
2018-09-18,3.89,4.42,3.88,4.36,4.36,3921500,ENPH
2018-09-19,4.42,4.46,4.05,4.23,4.23,4044700,ENPH
2018-09-20,4.25,4.5,4.13,4.42,4.42,2111200,ENPH
2018-09-21,4.42,4.54,4.23,4.4,4.4,3172200,ENPH
2018-09-24,4.37,4.44,4.18,4.21,4.21,1970900,ENPH
2018-09-25,4.24,4.84,4.19,4.62,4.62,3478300,ENPH
2018-09-26,4.67,4.78,4.52,4.54,4.54,2954500,ENPH
2018-09-27,4.59,5.21,4.45,4.94,4.94,6265200,ENPH
2018-09-28,5.15,5.16,4.76,4.85,4.85,4393900,ENPH
2018-10-01,5.01,5.01,4.79,4.96,4.96,2052000,ENPH
2018-10-02,4.95,5.14,4.91,4.99,4.99,2401300,ENPH
2018-10-03,5.03,5.11,4.86,4.93,4.93,2063200,ENPH
2018-10-04,4.87,4.93,4.6,4.64,4.64,1957800,ENPH
2018-10-05,4.64,4.73,4.34,4.51,4.51,2675100,ENPH
2018-10-08,4.46,4.66,4.35,4.63,4.63,1679000,ENPH
2018-10-09,4.63,4.78,4.49,4.54,4.54,1248700,ENPH
2018-10-10,4.5,4.52,4.3,4.33,4.33,1794100,ENPH
2018-10-11,4.3,4.64,4.26,4.5,4.5,1705900,ENPH
2018-10-12,4.56,4.63,4.45,4.6,4.6,1360900,ENPH
2018-10-15,4.7,5.0,4.64,4.94,4.94,2230900,ENPH
2018-10-16,4.99,4.99,4.76,4.89,4.89,1431000,ENPH
2018-10-17,4.9,4.94,4.75,4.92,4.92,1109200,ENPH
2018-10-18,4.89,5.11,4.83,4.87,4.87,2186600,ENPH
2018-10-19,4.88,4.99,4.6,4.74,4.74,1453400,ENPH
2018-10-22,4.78,4.87,4.65,4.7,4.7,798700,ENPH
2018-10-23,4.57,4.64,4.39,4.51,4.51,1383100,ENPH
2018-10-24,4.52,4.65,4.26,4.26,4.26,1205400,ENPH
2018-10-25,4.31,4.46,4.23,4.4,4.4,1599300,ENPH
2018-10-26,4.3,4.34,4.07,4.19,4.19,1546600,ENPH
2018-10-29,4.33,4.4,4.06,4.15,4.15,1346000,ENPH
2018-10-30,4.13,4.33,4.1,4.24,4.24,1377100,ENPH
2018-10-31,4.36,4.58,4.21,4.54,4.54,2094400,ENPH
2018-11-01,4.55,4.95,4.51,4.91,4.91,2357800,ENPH
2018-11-02,4.94,5.21,4.91,5.15,5.15,3441100,ENPH
2018-11-05,5.22,5.43,5.14,5.39,5.39,2438200,ENPH
2018-11-06,5.44,5.6,5.04,5.15,5.15,2665500,ENPH
2018-11-07,4.93,5.75,4.6,5.64,5.64,2999800,ENPH
2018-11-08,5.65,5.81,5.47,5.81,5.81,1761600,ENPH
2018-11-09,5.8,5.81,5.4,5.56,5.56,1316200,ENPH
2018-11-12,5.53,5.64,5.28,5.43,5.43,1200300,ENPH
2018-11-13,5.48,5.68,5.38,5.44,5.44,1105800,ENPH
2018-11-14,5.49,5.54,5.31,5.4,5.4,1016800,ENPH
2018-11-15,5.36,5.58,5.2,5.54,5.54,1320900,ENPH
2018-11-16,5.46,5.55,5.24,5.45,5.45,1483000,ENPH
2018-11-19,5.43,5.44,5.21,5.29,5.29,1327100,ENPH
2018-11-20,5.17,5.28,4.81,4.92,4.92,2079800,ENPH
2018-11-21,4.98,5.14,4.89,5.08,5.08,1060500,ENPH
2018-11-23,4.99,5.22,4.96,5.21,5.21,639800,ENPH
2018-11-26,5.28,5.37,5.22,5.3,5.3,1231400,ENPH
2018-11-27,5.25,5.35,5.21,5.32,5.32,663600,ENPH
2018-11-28,5.34,5.59,5.31,5.57,5.57,1632000,ENPH
2018-11-29,5.57,5.57,5.4,5.42,5.42,914200,ENPH
2018-11-30,5.38,5.48,5.27,5.4,5.4,1270900,ENPH
2018-12-03,5.58,5.81,5.56,5.78,5.78,2631100,ENPH
2018-12-04,5.67,6.34,5.6,5.66,5.66,3300900,ENPH
2018-12-06,5.45,6.14,5.41,5.87,5.87,2710100,ENPH
2018-12-07,5.89,5.99,5.65,5.68,5.68,1480600,ENPH
2018-12-10,5.68,5.77,5.52,5.68,5.68,1447600,ENPH
2018-12-11,5.75,6.03,5.67,5.7,5.7,1579300,ENPH
2018-12-12,5.84,5.9,5.66,5.8,5.8,1366000,ENPH
2018-12-13,5.8,5.98,5.75,5.76,5.76,1315900,ENPH
2018-12-14,5.68,5.85,5.62,5.68,5.68,1275100,ENPH
2018-12-17,5.64,5.7,5.49,5.53,5.53,1732100,ENPH
2018-12-18,5.57,5.62,5.13,5.25,5.25,1844300,ENPH
2018-12-19,5.26,5.4,5.12,5.19,5.19,1208600,ENPH
2018-12-20,5.11,5.26,4.72,5.0,5.0,2122000,ENPH
2018-12-21,5.04,5.05,4.53,4.74,4.74,4174800,ENPH
2018-12-24,4.65,4.77,4.56,4.64,4.64,716700,ENPH
2018-12-26,4.64,5.07,4.6,4.99,4.99,1366500,ENPH
2018-12-27,4.87,4.92,4.71,4.9,4.9,788200,ENPH
2018-12-28,4.95,5.01,4.77,4.83,4.83,1558500,ENPH
2018-12-31,4.84,4.89,4.56,4.73,4.73,1145800,ENPH
2019-01-02,4.63,4.93,4.61,4.92,4.92,756500,ENPH
2019-01-03,4.86,4.98,4.74,4.76,4.76,1305300,ENPH
2019-01-04,4.86,5.11,4.83,5.08,5.08,1814400,ENPH
2019-01-07,5.12,5.39,4.9,5.26,5.26,1458700,ENPH
2019-01-08,5.33,5.48,5.21,5.35,5.35,1222600,ENPH
2019-01-09,5.41,5.77,5.41,5.63,5.63,1326300,ENPH
2019-01-10,5.54,5.77,5.44,5.63,5.63,1056100,ENPH
2019-01-11,5.6,5.7,5.57,5.68,5.68,812100,ENPH
2019-01-14,5.64,5.84,5.48,5.82,5.82,1444200,ENPH
2019-01-15,5.9,6.18,5.82,6.15,6.15,2436600,ENPH
2019-01-16,6.13,6.74,6.1,6.68,6.68,3826000,ENPH
2019-01-17,6.78,7.2,6.75,6.82,6.82,3367400,ENPH
2019-01-18,6.85,6.98,6.43,6.53,6.53,2219200,ENPH
2019-01-22,6.48,6.77,6.41,6.59,6.59,1621900,ENPH
2019-01-23,6.61,6.66,6.39,6.51,6.51,1083400,ENPH
2019-01-24,6.5,6.68,6.44,6.66,6.66,1550200,ENPH
2019-01-25,6.72,6.83,6.52,6.72,6.72,1550100,ENPH
2019-01-28,6.64,7.09,6.64,6.9,6.9,1563500,ENPH
2019-01-29,6.99,7.19,6.94,7.1,7.1,1696200,ENPH
2019-01-30,7.14,7.29,7.04,7.16,7.16,1515800,ENPH
2019-01-31,7.16,7.58,7.1,7.23,7.23,3743400,ENPH
2019-02-01,7.26,7.35,6.6,7.0,7.0,4422100,ENPH
2019-02-04,7.02,7.06,6.8,7.0,7.0,1289000,ENPH
2019-02-05,6.87,7.33,6.87,7.3,7.3,1842800,ENPH
2019-02-06,7.3,7.53,7.26,7.32,7.32,1471500,ENPH
2019-02-07,7.32,7.6,7.27,7.48,7.48,1814100,ENPH
2019-02-08,7.4,7.55,7.27,7.44,7.44,1095300,ENPH
2019-02-11,7.55,7.78,7.45,7.73,7.73,2439100,ENPH
2019-02-12,7.9,7.94,7.46,7.6,7.6,1902100,ENPH
2019-02-13,7.65,7.84,7.51,7.68,7.68,1192600,ENPH
2019-02-14,7.63,7.83,7.61,7.66,7.66,1088200,ENPH
2019-02-15,7.72,7.78,7.56,7.65,7.65,1298100,ENPH
2019-02-19,7.57,7.65,7.41,7.56,7.56,1608400,ENPH
2019-02-20,7.49,7.52,7.01,7.23,7.23,2484200,ENPH
2019-02-21,7.26,7.53,7.26,7.37,7.37,1245700,ENPH
2019-02-22,7.42,7.78,7.38,7.78,7.78,1611000,ENPH
2019-02-25,7.82,8.15,7.71,8.06,8.06,2175700,ENPH
2019-02-26,8.01,8.18,7.85,8.09,8.09,2395000,ENPH
2019-02-27,8.4,9.12,8.02,8.87,8.87,6182200,ENPH
2019-02-28,9.0,9.4,8.77,9.07,9.07,3523400,ENPH
2019-03-01,9.11,9.3,9.03,9.1,9.1,4636300,ENPH
2019-03-04,9.19,9.24,8.65,8.78,8.78,4228500,ENPH
2019-03-05,8.76,8.86,8.31,8.7,8.7,2422600,ENPH
2019-03-06,8.85,9.07,8.2,8.38,8.38,2475000,ENPH
2019-03-07,8.34,8.63,8.24,8.29,8.29,2912200,ENPH
2019-03-08,8.19,8.48,8.03,8.46,8.46,1854800,ENPH
2019-03-11,8.44,8.9,8.43,8.84,8.84,2338300,ENPH
2019-03-12,8.84,9.04,8.78,9.0,9.0,1373900,ENPH
2019-03-13,9.05,9.38,9.05,9.36,9.36,1758800,ENPH
2019-03-14,9.35,9.53,9.23,9.38,9.38,1860900,ENPH
2019-03-15,9.4,9.44,9.03,9.05,9.05,2248800,ENPH
2019-03-18,9.18,9.7,9.18,9.67,9.67,1495000,ENPH
2019-03-19,8.86,9.46,8.8,9.2,9.2,3672300,ENPH
2019-03-20,9.14,9.4,9.0,9.18,9.18,1771500,ENPH
2019-03-21,9.22,9.57,9.15,9.38,9.38,1704000,ENPH
2019-03-22,9.35,9.48,9.04,9.19,9.19,1662200,ENPH
2019-03-25,9.19,9.2,8.61,9.03,9.03,2011600,ENPH
2019-03-26,9.09,9.09,8.57,8.71,8.71,2022500,ENPH
2019-03-27,8.74,8.83,8.57,8.8,8.8,1029800,ENPH
2019-03-28,8.82,9.1,8.76,9.08,9.08,1464100,ENPH
2019-03-29,9.17,9.4,9.15,9.23,9.23,1841300,ENPH
2019-04-01,9.15,9.32,9.06,9.26,9.26,2439300,ENPH
2019-04-02,9.27,9.42,9.16,9.35,9.35,1148500,ENPH
2019-04-03,9.4,9.79,9.4,9.69,9.69,2387000,ENPH
2019-04-04,9.6,9.74,9.47,9.52,9.52,1188700,ENPH
2019-04-05,9.53,9.98,9.53,9.84,9.84,2576400,ENPH
2019-04-08,10.0,10.25,9.97,10.24,10.24,2293000,ENPH
2019-04-09,10.24,10.36,10.0,10.03,10.03,1900800,ENPH
2019-04-10,10.01,10.3,10.01,10.15,10.15,1761900,ENPH
2019-04-11,10.18,10.18,9.76,9.8,9.8,1861600,ENPH
2019-04-12,9.93,10.09,9.85,9.93,9.93,1163100,ENPH
2019-04-15,9.99,10.18,9.41,9.59,9.59,2116600,ENPH
2019-04-16,9.62,9.76,9.56,9.66,9.66,1174900,ENPH
2019-04-17,9.75,9.78,9.61,9.73,9.73,898300,ENPH
2019-04-18,9.73,9.84,9.39,9.45,9.45,1186800,ENPH
2019-04-22,9.43,9.44,9.15,9.28,9.28,1438100,ENPH
2019-04-23,9.32,9.86,9.23,9.75,9.75,2711600,ENPH
2019-04-24,9.78,10.0,9.64,9.83,9.83,1299200,ENPH
2019-04-25,9.85,9.99,9.76,9.91,9.91,1144900,ENPH
2019-04-26,9.92,10.47,9.9,10.43,10.43,4421400,ENPH
2019-04-29,10.38,10.49,10.2,10.21,10.21,2043500,ENPH
2019-04-30,10.29,10.29,9.8,10.04,10.04,2668000,ENPH
2019-05-01,12.3,13.2,12.0,12.98,12.98,15852500,ENPH
2019-05-02,12.4,13.04,12.36,12.93,12.93,3634000,ENPH
2019-05-03,12.93,13.88,12.93,13.83,13.83,4101400,ENPH
2019-05-06,13.5,13.9,13.43,13.75,13.75,2482600,ENPH
2019-05-07,13.65,14.29,13.65,14.21,14.21,3277600,ENPH
2019-05-08,14.27,14.32,13.55,13.93,13.93,2366500,ENPH
2019-05-09,13.83,13.91,13.19,13.56,13.56,2544000,ENPH
2019-05-10,13.45,14.13,13.42,14.02,14.02,2635600,ENPH
2019-05-13,13.65,13.95,13.27,13.69,13.69,2320000,ENPH
2019-05-14,13.75,14.16,13.75,14.02,14.02,2137800,ENPH
2019-05-15,13.96,14.64,13.93,14.58,14.58,2890200,ENPH
2019-05-16,14.65,14.95,14.2,14.82,14.82,2390400,ENPH
2019-05-17,14.75,14.89,14.41,14.65,14.65,1779000,ENPH
2019-05-20,14.58,14.65,13.85,14.31,14.31,2233400,ENPH
2019-05-21,14.4,15.0,14.28,14.88,14.88,2009700,ENPH
2019-05-22,14.86,15.25,14.83,15.22,15.22,2385300,ENPH
2019-05-23,15.1,15.15,14.46,14.68,14.68,2663200,ENPH
2019-05-24,14.79,15.4,14.79,15.36,15.36,2498100,ENPH
2019-05-28,15.39,15.94,15.39,15.81,15.81,3642100,ENPH
2019-05-29,15.8,16.29,15.49,16.29,16.29,2525700,ENPH
2019-05-30,15.92,15.99,14.9,15.77,15.77,10071800,ENPH
2019-05-31,15.4,15.4,14.56,15.17,15.17,5425100,ENPH
2019-06-03,15.09,15.77,14.97,15.71,15.71,2532800,ENPH
2019-06-04,15.92,16.29,15.81,15.97,15.97,2758800,ENPH
2019-06-05,16.0,16.11,15.52,15.92,15.92,2344900,ENPH
2019-06-06,15.95,16.06,15.53,15.68,15.68,3333100,ENPH
2019-06-07,15.71,16.87,15.71,16.36,16.36,3386500,ENPH
2019-06-10,16.78,16.85,16.1,16.19,16.19,3248600,ENPH
2019-06-11,16.41,17.15,16.27,17.07,17.07,4033000,ENPH
2019-06-12,17.22,17.55,17.01,17.08,17.08,4271700,ENPH
2019-06-13,17.5,17.68,16.71,17.51,17.51,4329700,ENPH
2019-06-14,17.41,17.48,17.0,17.33,17.33,2648100,ENPH
2019-06-17,17.46,17.79,17.15,17.75,17.75,2866600,ENPH
2019-06-18,17.95,19.13,17.92,18.8,18.8,4731900,ENPH
2019-06-19,19.01,19.06,18.0,18.63,18.63,4293600,ENPH
2019-06-20,18.4,18.74,18.15,18.4,18.4,3349300,ENPH
2019-06-21,18.22,18.3,17.63,17.64,17.64,3101200,ENPH
2019-06-24,17.65,18.3,17.46,17.49,17.49,2626400,ENPH
2019-06-25,17.42,17.47,16.15,16.29,16.29,4261500,ENPH
2019-06-26,16.4,16.94,16.32,16.79,16.79,2455500,ENPH
2019-06-27,16.91,18.07,16.9,17.92,17.92,2712900,ENPH
2019-06-28,17.96,18.28,17.64,18.23,18.23,6928800,ENPH
2019-07-01,18.8,18.88,18.15,18.3,18.3,3406100,ENPH
2019-07-02,18.25,18.66,17.96,18.56,18.56,1980400,ENPH
2019-07-03,18.67,19.23,18.67,18.97,18.97,1891200,ENPH
2019-07-05,19.01,19.72,18.56,19.64,19.64,2474200,ENPH
2019-07-08,19.63,20.18,19.28,19.97,19.97,3775300,ENPH
2019-07-09,20.0,20.59,19.86,20.42,20.42,3685200,ENPH
2019-07-10,20.58,20.67,19.09,19.89,19.89,4919000,ENPH
2019-07-11,20.01,20.37,19.22,19.48,19.48,4329700,ENPH
2019-07-12,19.57,19.93,19.32,19.67,19.67,3275500,ENPH
2019-07-15,19.82,19.9,19.28,19.66,19.66,2478800,ENPH
2019-07-16,19.72,20.59,19.52,20.35,20.35,3761300,ENPH
2019-07-17,20.31,20.54,20.1,20.19,20.19,2310500,ENPH
2019-07-18,20.15,20.77,20.03,20.66,20.66,5942900,ENPH
2019-07-19,20.72,21.17,20.58,20.81,20.81,3346100,ENPH
2019-07-22,21.03,21.28,20.68,21.26,21.26,3009900,ENPH
2019-07-23,21.38,21.51,19.14,19.65,19.65,5561600,ENPH
2019-07-24,19.65,20.07,19.36,20.02,20.02,2537400,ENPH
2019-07-25,20.45,20.46,19.72,19.8,19.8,2602300,ENPH
2019-07-26,19.89,20.84,19.8,20.8,20.8,3104600,ENPH
2019-07-29,21.0,21.32,20.14,21.2,21.2,3592800,ENPH
2019-07-30,21.0,21.7,20.7,21.65,21.65,5147100,ENPH
2019-07-31,26.31,28.93,26.29,28.15,28.15,22313400,ENPH
2019-08-01,28.58,31.17,28.2,30.1,30.1,11806000,ENPH
