Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2017-05-10,66.36,66.885,65.74,66.79,66.79,1102500,QRVO
2017-05-11,66.51,67.07,65.84,67.02,67.02,1507800,QRVO
2017-05-12,66.87,67.82,66.837,67.8,67.8,1743000,QRVO
2017-05-15,67.26,72.128,67.26,71.54,71.54,4529800,QRVO
2017-05-16,71.73,74.92,71.665,74.84,74.84,3182700,QRVO
2017-05-17,73.78,74.59,72.5,72.54,72.54,2765300,QRVO
2017-05-18,72.16,75.98,71.75,75.55,75.55,3399400,QRVO
2017-05-19,76.09,76.495,75.24,75.51,75.51,2091000,QRVO
2017-05-22,75.78,78.83,75.745,78.07,78.07,2953900,QRVO
2017-05-23,78.26,78.61,76.36,78.55,78.55,1858100,QRVO
2017-05-24,78.81,79.2,77.37,78.39,78.39,1745400,QRVO
2017-05-25,78.65,79.326,77.85,78.83,78.83,1907900,QRVO
2017-05-26,78.86,78.88,77.76,77.84,77.84,1349500,QRVO
2017-05-30,77.71,79.1,77.44,78.65,78.65,1878700,QRVO
2017-05-31,78.93,79.339,77.2,77.95,77.95,1409200,QRVO
2017-06-01,78.07,79.06,77.61,79.06,79.06,1285700,QRVO
2017-06-02,78.95,79.11,77.56,78.95,78.95,1573400,QRVO
2017-06-05,78.69,79.09,77.02,77.3,77.3,1444000,QRVO
2017-06-06,77.09,78.21,76.34,77.5,77.5,1070900,QRVO
2017-06-07,77.45,78.37,77.08,77.67,77.67,1133200,QRVO
2017-06-08,77.63,78.18,76.64,78.08,78.08,1445300,QRVO
2017-06-09,77.78,78.99,73.39,75.27,75.27,2088000,QRVO
2017-06-12,74.2,74.76,71.2,74.63,74.63,2174400,QRVO
2017-06-13,75.04,76.39,74.3,74.65,74.65,1147300,QRVO
2017-06-14,74.92,75.31,70.88,72.13,72.13,2132500,QRVO
2017-06-15,70.75,72.3,70.28,71.68,71.68,2756000,QRVO
2017-06-16,72.05,72.33,71.23,71.72,71.72,1685100,QRVO
2017-06-19,72.29,72.83,71.8,72.46,72.46,1734400,QRVO
2017-06-20,72.25,72.51,70.78,70.86,70.86,1044900,QRVO
2017-06-21,71.3,72.18,70.62,71.18,71.18,1316500,QRVO
2017-06-22,71.1,71.12,69.325,70.49,70.49,1089000,QRVO
2017-06-23,70.71,70.79,69.79,69.94,69.94,2683700,QRVO
2017-06-26,69.95,70.42,66.11,66.41,66.41,3320600,QRVO
2017-06-27,66.08,66.34,64.1,64.49,64.49,2499400,QRVO
2017-06-28,65.07,66.19,63.806,65.95,65.95,2362500,QRVO
2017-06-29,65.57,65.75,63.03,64.29,64.29,1957500,QRVO
2017-06-30,64.45,64.8,63.06,63.32,63.32,1584900,QRVO
2017-07-03,63.49,63.95,62.68,63.0,63.0,807200,QRVO
2017-07-05,63.43,65.34,63.36,65.02,65.02,2265800,QRVO
2017-07-06,64.08,65.08,63.59,64.01,64.01,1964400,QRVO
2017-07-07,64.42,66.26,64.28,65.86,65.86,1948900,QRVO
2017-07-10,65.62,65.98,63.97,65.0,65.0,2001200,QRVO
2017-07-11,64.99,66.15,64.833,65.93,65.93,997700,QRVO
2017-07-12,66.29,67.81,65.73,67.47,67.47,2382700,QRVO
2017-07-13,67.3,67.78,66.32,67.37,67.37,2169400,QRVO
2017-07-14,67.71,68.08,67.23,67.32,67.32,789100,QRVO
2017-07-17,67.3,67.55,66.61,67.0,67.0,1196500,QRVO
2017-07-18,66.89,67.17,66.16,66.98,66.98,909400,QRVO
2017-07-19,67.25,67.7,66.86,67.64,67.64,911600,QRVO
2017-07-20,67.72,68.96,67.04,68.72,68.72,1202100,QRVO
2017-07-21,68.72,69.42,67.52,69.29,69.29,1563600,QRVO
2017-07-24,69.28,69.5,68.8,69.17,69.17,1642800,QRVO
2017-07-25,69.2,69.73,68.407,69.295,69.295,1076100,QRVO
2017-07-26,69.53,70.27,68.98,69.54,69.54,746300,QRVO
2017-07-27,69.62,69.66,68.325,69.1,69.1,2024100,QRVO
2017-07-28,68.87,69.35,68.37,69.0,69.0,789400,QRVO
2017-07-31,69.19,69.26,68.03,68.56,68.56,1448400,QRVO
2017-08-01,68.67,68.67,67.68,68.07,68.07,1396500,QRVO
2017-08-02,69.37,69.37,66.63,66.86,66.86,2264100,QRVO
2017-08-03,66.3,68.975,64.7,66.89,66.89,2459100,QRVO
2017-08-04,66.7,68.1,66.22,66.62,66.62,965500,QRVO
2017-08-07,66.82,69.18,66.82,68.8,68.8,1366900,QRVO
2017-08-08,68.41,69.8,67.555,69.16,69.16,1369100,QRVO
2017-08-09,68.81,69.42,68.39,69.06,69.06,865000,QRVO
2017-08-10,68.64,68.67,67.49,67.77,67.77,1277900,QRVO
2017-08-11,67.67,69.05,66.83,68.9,68.9,961000,QRVO
2017-08-14,69.54,71.61,69.5,71.42,71.42,1537900,QRVO
2017-08-15,71.34,72.3,70.43,71.76,71.76,1694200,QRVO
2017-08-16,71.9,72.47,71.46,72.42,72.42,1281500,QRVO
2017-08-17,72.11,72.735,71.16,71.19,71.19,1388600,QRVO
2017-08-18,71.71,71.81,69.6,69.67,69.67,1285200,QRVO
2017-08-21,69.62,69.98,68.52,69.33,69.33,828100,QRVO
2017-08-22,69.74,71.11,69.71,71.01,71.01,806900,QRVO
2017-08-23,70.53,70.89,70.05,70.67,70.67,752600,QRVO
2017-08-24,70.99,71.2,70.13,70.25,70.25,827500,QRVO
2017-08-25,70.52,71.26,70.2,70.93,70.93,837500,QRVO
2017-08-28,71.15,71.15,70.06,70.6,70.6,721300,QRVO
2017-08-29,69.91,70.69,69.31,70.46,70.46,510700,QRVO
2017-08-30,70.76,73.17,70.62,73.12,73.12,832000,QRVO
2017-08-31,73.19,73.66,72.82,73.22,73.22,811000,QRVO
2017-09-01,73.39,74.23,73.07,73.26,73.26,703000,QRVO
2017-09-05,72.93,73.99,72.24,73.38,73.38,869800,QRVO
2017-09-06,73.27,73.975,72.035,73.32,73.32,726000,QRVO
2017-09-07,73.41,75.71,73.14,73.22,73.22,2006600,QRVO
2017-09-08,73.29,73.4,71.44,71.61,71.61,707000,QRVO
2017-09-11,72.34,73.16,72.14,72.63,72.63,780400,QRVO
2017-09-12,72.9,73.64,72.55,72.95,72.95,915000,QRVO
2017-09-13,72.9,73.24,72.31,73.01,73.01,522600,QRVO
2017-09-14,72.56,74.69,72.56,73.48,73.48,645300,QRVO
2017-09-15,73.37,75.55,73.225,75.49,75.49,1440900,QRVO
2017-09-18,75.5,76.47,74.2,74.35,74.35,1000800,QRVO
2017-09-19,74.44,74.61,73.635,74.32,74.32,645500,QRVO
2017-09-20,74.3,74.32,69.93,70.32,70.32,2221800,QRVO
2017-09-21,70.21,70.72,69.06,70.61,70.61,1653600,QRVO
2017-09-22,70.38,71.57,70.23,71.2,71.2,1035700,QRVO
2017-09-25,70.64,70.64,68.26,68.66,68.66,1932800,QRVO
2017-09-26,69.0,69.37,67.698,68.24,68.24,1113300,QRVO
2017-09-27,69.23,70.77,68.65,70.25,70.25,1041500,QRVO
2017-09-28,70.25,70.72,69.57,70.2,70.2,883500,QRVO
2017-09-29,70.2,71.09,69.22,70.68,70.68,1020400,QRVO
2017-10-02,70.84,72.06,70.84,71.29,71.29,801500,QRVO
2017-10-03,71.52,71.76,71.02,71.39,71.39,428600,QRVO
2017-10-04,71.02,72.17,70.528,72.16,72.16,642800,QRVO
2017-10-05,72.24,72.68,71.11,71.7,71.7,759900,QRVO
2017-10-06,71.64,72.8,71.64,72.69,72.69,607200,QRVO
2017-10-09,72.65,72.94,72.11,72.66,72.66,417900,QRVO
2017-10-10,72.75,72.81,71.01,71.84,71.84,986600,QRVO
2017-10-11,71.9,73.0,71.9,72.94,72.94,839500,QRVO
2017-10-12,72.72,73.07,72.26,72.36,72.36,1233000,QRVO
2017-10-13,72.58,73.03,72.08,72.39,72.39,663400,QRVO
2017-10-16,72.27,72.74,72.13,72.53,72.53,721400,QRVO
2017-10-17,72.52,73.19,71.58,72.27,72.27,1020900,QRVO
2017-10-18,72.27,72.345,70.91,72.02,72.02,797400,QRVO
2017-10-19,71.5,71.5,69.12,69.68,69.68,1596200,QRVO
2017-10-20,70.13,70.55,69.72,69.92,69.92,779600,QRVO
2017-10-23,70.08,70.53,69.5,69.8,69.8,1163800,QRVO
2017-10-24,70.11,71.66,69.77,71.44,71.44,1220400,QRVO
2017-10-25,71.8,73.39,71.31,71.78,71.78,1460300,QRVO
2017-10-26,72.13,72.52,71.445,71.56,71.56,594600,QRVO
2017-10-27,72.74,73.76,71.2,73.72,73.72,1237400,QRVO
2017-10-30,74.02,76.59,73.75,76.25,76.25,1620300,QRVO
2017-10-31,76.45,77.055,75.28,75.81,75.81,1417400,QRVO
2017-11-01,76.16,76.59,73.86,74.46,74.46,1953100,QRVO
2017-11-02,71.73,74.81,71.19,74.3,74.3,2612300,QRVO
2017-11-03,74.35,74.48,71.73,73.84,73.84,2903500,QRVO
2017-11-06,73.78,78.97,73.47,78.49,78.49,3093600,QRVO
2017-11-07,77.58,79.98,76.7,78.46,78.46,1758100,QRVO
2017-11-08,78.48,80.94,78.11,80.82,80.82,1716700,QRVO
2017-11-09,80.48,80.96,78.32,79.47,79.47,1463200,QRVO
2017-11-10,81.2,81.2,79.03,79.57,79.57,928200,QRVO
2017-11-13,79.16,79.92,78.56,79.08,79.08,1005900,QRVO
2017-11-14,79.0,79.78,78.07,78.41,78.41,784300,QRVO
2017-11-15,78.26,78.37,76.33,76.68,76.68,1128600,QRVO
2017-11-16,77.05,78.16,76.99,77.91,77.91,872600,QRVO
2017-11-17,78.04,78.397,76.68,77.33,77.33,927100,QRVO
2017-11-20,77.6,79.23,77.6,79.14,79.14,726600,QRVO
2017-11-21,79.47,80.84,79.4,80.59,80.59,1177200,QRVO
2017-11-22,80.54,80.713,79.3,79.61,79.61,637400,QRVO
2017-11-24,79.75,80.65,79.75,80.62,80.62,238700,QRVO
2017-11-27,80.0,80.43,79.221,79.74,79.74,905900,QRVO
2017-11-28,79.99,80.0,77.794,79.03,79.03,1120900,QRVO
2017-11-29,78.97,79.105,75.27,76.69,76.69,1501600,QRVO
2017-11-30,76.89,77.49,76.175,76.58,76.58,1252300,QRVO
2017-12-01,76.09,76.3,71.66,74.21,74.21,2124900,QRVO
2017-12-04,74.76,75.31,71.85,72.4,72.4,2211700,QRVO
2017-12-05,72.04,73.26,70.83,71.78,71.78,1862400,QRVO
2017-12-06,70.0,71.01,67.53,70.1,70.1,3573600,QRVO
2017-12-07,71.53,71.56,68.35,68.72,68.72,1864300,QRVO
2017-12-08,69.28,69.37,67.66,67.88,67.88,2150000,QRVO
2017-12-11,67.64,68.9,67.64,68.62,68.62,1559000,QRVO
2017-12-12,68.11,68.46,66.52,67.69,67.69,1913700,QRVO
2017-12-13,68.14,69.085,67.06,67.29,67.29,1565300,QRVO
2017-12-14,67.2,67.33,65.21,65.23,65.23,1991800,QRVO
2017-12-15,65.57,66.15,64.72,65.53,65.53,4164800,QRVO
2017-12-18,66.0,67.33,65.3,67.05,67.05,1824100,QRVO
2017-12-19,66.75,67.28,66.365,66.79,66.79,878500,QRVO
2017-12-20,67.22,67.52,66.13,67.07,67.07,845000,QRVO
2017-12-21,67.25,67.55,67.06,67.48,67.48,913400,QRVO
2017-12-22,67.49,68.21,67.35,67.69,67.69,877400,QRVO
2017-12-26,65.84,67.69,64.53,65.9,65.9,1260000,QRVO
2017-12-27,66.25,67.99,65.98,67.26,67.26,1135400,QRVO
2017-12-28,67.51,67.9,66.85,67.36,67.36,850200,QRVO
2017-12-29,67.36,67.57,66.58,66.6,66.6,714800,QRVO
2018-01-02,67.06,68.97,66.08,68.88,68.88,1345800,QRVO
2018-01-03,69.08,70.008,68.14,68.39,68.39,1552800,QRVO
2018-01-04,68.69,69.88,68.09,68.72,68.72,1346900,QRVO
2018-01-05,69.06,69.438,67.92,68.03,68.03,1556400,QRVO
2018-01-08,67.89,68.97,67.29,68.84,68.84,1390100,QRVO
2018-01-09,69.14,69.97,68.44,69.0,69.0,1513600,QRVO
2018-01-10,68.7,68.98,67.35,67.74,67.74,1691600,QRVO
2018-01-11,68.0,69.39,67.67,68.88,68.88,1022400,QRVO
2018-01-12,69.12,71.23,68.705,71.04,71.04,1621700,QRVO
2018-01-16,71.37,71.61,68.91,69.3,69.3,1188400,QRVO
2018-01-17,69.47,71.09,69.32,70.85,70.85,1025700,QRVO
2018-01-18,70.84,71.99,70.59,70.7,70.7,1233500,QRVO
2018-01-19,70.5,70.5,67.13,68.4,68.4,2820300,QRVO
2018-01-22,68.12,68.52,65.56,66.34,66.34,3155900,QRVO
2018-01-23,66.44,67.79,66.1,67.32,67.32,2130400,QRVO
2018-01-24,66.76,67.885,65.8,66.9,66.9,2797900,QRVO
2018-01-25,67.46,67.52,65.72,66.06,66.06,1914900,QRVO
2018-01-26,66.42,67.94,66.1,67.94,67.94,1932000,QRVO
2018-01-29,67.32,68.45,67.3,68.19,68.19,2286200,QRVO
2018-01-30,67.48,75.08,67.4,70.67,70.67,6126500,QRVO
2018-01-31,71.5,71.95,69.88,71.77,71.77,3927000,QRVO
2018-02-01,79.32,85.24,77.89,83.34,83.34,10691400,QRVO
2018-02-02,82.41,83.89,80.62,80.77,80.77,4082300,QRVO
2018-02-05,80.2,81.97,75.35,75.58,75.58,4736300,QRVO
2018-02-06,74.99,79.25,74.11,79.07,79.07,3857200,QRVO
2018-02-07,78.75,80.02,78.07,78.09,78.09,3619000,QRVO
2018-02-08,78.09,80.62,76.81,76.85,76.85,2670100,QRVO
2018-02-09,77.76,79.8,75.5,77.85,77.85,3382800,QRVO
2018-02-12,78.34,79.95,77.94,79.17,79.17,1615200,QRVO
2018-02-13,78.8,79.7,78.51,79.35,79.35,1184900,QRVO
2018-02-14,78.81,79.83,78.45,78.82,78.82,1748000,QRVO
2018-02-15,78.97,79.72,77.48,78.56,78.56,1393900,QRVO
2018-02-16,78.37,78.82,77.29,77.31,77.31,1387000,QRVO
2018-02-20,77.37,80.88,77.37,80.17,80.17,2328000,QRVO
2018-02-21,80.38,80.84,79.72,79.95,79.95,1735700,QRVO
2018-02-22,80.17,80.6,78.12,78.5,78.5,1632400,QRVO
2018-02-23,78.98,80.16,78.57,80.13,80.13,1073600,QRVO
2018-02-26,80.13,81.49,79.86,81.48,81.48,1029400,QRVO
2018-02-27,81.58,82.28,81.18,81.21,81.21,1143700,QRVO
2018-02-28,81.25,81.93,80.15,80.71,80.71,989300,QRVO
2018-03-01,80.83,81.09,78.16,78.61,78.61,1488400,QRVO
2018-03-02,77.87,81.3,77.87,81.13,81.13,1667300,QRVO
2018-03-05,80.65,83.533,80.65,83.19,83.19,1692500,QRVO
2018-03-06,83.46,84.24,83.25,83.68,83.68,1261300,QRVO
2018-03-07,82.83,84.3,82.77,83.32,83.32,1778500,QRVO
2018-03-08,83.5,84.29,82.7,84.23,84.23,1383400,QRVO
2018-03-09,84.45,85.51,83.884,85.51,85.51,1437600,QRVO
2018-03-12,86.0,86.84,83.96,86.39,86.39,1861700,QRVO
2018-03-13,86.56,86.56,83.07,83.42,83.42,1774700,QRVO
2018-03-14,83.46,83.75,81.25,82.22,82.22,1390900,QRVO
2018-03-15,79.48,80.02,74.79,79.0,79.0,6676800,QRVO
2018-03-16,79.29,81.62,78.99,80.75,80.75,2831900,QRVO
2018-03-19,79.8,80.31,77.42,78.42,78.42,2532000,QRVO
2018-03-20,75.05,76.66,73.52,75.07,75.07,4309600,QRVO
2018-03-21,75.07,75.92,73.92,74.18,74.18,2088200,QRVO
2018-03-22,73.43,74.43,72.19,72.65,72.65,2639800,QRVO
2018-03-23,72.76,73.4,70.61,71.55,71.55,2167400,QRVO
2018-03-26,72.55,73.53,71.26,73.34,73.34,1813800,QRVO
2018-03-27,73.49,73.57,69.635,70.23,70.23,1855900,QRVO
2018-03-28,69.93,70.87,68.13,68.54,68.54,1717600,QRVO
2018-03-29,69.12,71.06,68.25,70.45,70.45,1542200,QRVO
2018-04-02,70.07,70.44,68.06,68.53,68.53,1275200,QRVO
2018-04-03,69.01,69.93,68.65,69.71,69.71,1093800,QRVO
2018-04-04,68.22,71.59,67.81,71.51,71.51,1231800,QRVO
2018-04-05,71.66,72.4,70.935,71.41,71.41,1622900,QRVO
2018-04-06,70.7,71.53,69.33,69.72,69.72,1291500,QRVO
2018-04-09,70.1,71.44,69.57,69.59,69.59,1157500,QRVO
2018-04-10,70.8,71.64,70.41,71.24,71.24,1072900,QRVO
2018-04-11,70.91,72.82,70.42,72.2,72.2,1026600,QRVO
2018-04-12,72.72,73.39,72.02,72.51,72.51,1486400,QRVO
2018-04-13,72.9,72.9,71.62,72.55,72.55,829500,QRVO
2018-04-16,72.75,72.91,71.22,72.28,72.28,1075300,QRVO
2018-04-17,72.86,73.83,72.56,73.47,73.47,810300,QRVO
2018-04-18,73.26,73.77,72.13,73.12,73.12,950400,QRVO
2018-04-19,71.4,71.77,69.71,70.63,70.63,2796700,QRVO
2018-04-20,70.78,71.03,68.54,69.88,69.88,1670400,QRVO
2018-04-23,70.21,70.67,68.3,68.68,68.68,2354700,QRVO
2018-04-24,68.89,69.46,67.745,68.06,68.06,2218200,QRVO
2018-04-25,68.11,68.65,67.14,67.66,67.66,1453400,QRVO
2018-04-26,68.43,69.145,67.29,68.48,68.48,1250200,QRVO
2018-04-27,68.59,68.59,67.22,67.38,67.38,1451000,QRVO
2018-04-30,67.34,68.44,66.3,67.4,67.4,2140100,QRVO
2018-05-01,68.65,72.46,68.34,71.8,71.8,2421000,QRVO
2018-05-02,72.0,74.69,71.86,74.24,74.24,3812100,QRVO
2018-05-03,74.03,77.75,70.78,76.73,76.73,3988000,QRVO
2018-05-04,76.19,79.54,75.84,79.49,79.49,1760900,QRVO
2018-05-07,79.83,81.41,79.16,79.64,79.64,2452200,QRVO
2018-05-08,79.2,80.42,78.88,79.89,79.89,1702100,QRVO
2018-05-09,79.94,80.86,79.5,80.21,80.21,1249200,QRVO
2018-05-10,80.79,82.05,80.0,81.99,81.99,1204500,QRVO
2018-05-11,81.26,82.09,81.26,81.64,81.64,854200,QRVO
2018-05-14,82.33,83.42,81.045,81.67,81.67,1202300,QRVO
2018-05-15,81.13,81.26,79.46,80.1,80.1,1158800,QRVO
2018-05-16,80.38,81.24,80.2,81.05,81.05,1106600,QRVO
2018-05-17,79.165,81.19,79.165,80.61,80.61,686400,QRVO
2018-05-18,80.02,80.15,78.75,79.59,79.59,1734400,QRVO
2018-05-21,80.47,81.83,79.81,81.15,81.15,1344700,QRVO
2018-05-22,81.57,82.29,80.63,80.78,80.78,1061200,QRVO
2018-05-23,81.18,81.34,80.0,81.3,81.3,1259300,QRVO
2018-05-24,81.32,81.94,80.5,81.23,81.23,1370100,QRVO
2018-05-25,81.48,82.085,81.27,81.49,81.49,1066500,QRVO
2018-05-29,80.86,81.05,78.98,79.94,79.94,1582600,QRVO
2018-05-30,79.91,81.04,79.65,80.93,80.93,1143500,QRVO
2018-05-31,80.81,81.54,80.02,80.25,80.25,1120600,QRVO
2018-06-01,80.63,82.0,80.3,81.81,81.81,1218500,QRVO
2018-06-04,82.0,82.0,80.918,81.69,81.69,794600,QRVO
2018-06-05,81.97,82.25,81.24,81.72,81.72,735700,QRVO
2018-06-06,81.41,81.72,79.16,80.09,80.09,2314900,QRVO
2018-06-07,79.95,82.11,79.52,81.04,81.04,1684500,QRVO
2018-06-08,79.09,80.98,78.42,80.16,80.16,1682500,QRVO
2018-06-11,79.99,80.3,79.64,79.83,79.83,599400,QRVO
2018-06-12,79.84,81.24,79.545,80.73,80.73,916400,QRVO
2018-06-13,81.01,81.5,80.02,80.4,80.4,1176600,QRVO
2018-06-14,80.84,83.96,80.5,83.65,83.65,2586200,QRVO
2018-06-15,83.67,85.24,82.87,85.12,85.12,2787000,QRVO
2018-06-18,85.01,86.5,84.22,85.79,85.79,2090300,QRVO
2018-06-19,84.73,85.215,82.83,83.51,83.51,1037200,QRVO
2018-06-20,84.3,84.49,83.19,83.46,83.46,872700,QRVO
2018-06-21,83.83,83.83,82.09,82.23,82.23,704000,QRVO
2018-06-22,82.83,82.94,81.46,82.05,82.05,1599600,QRVO
2018-06-25,81.7,81.97,79.411,80.36,80.36,984000,QRVO
2018-06-26,80.43,82.115,79.86,81.72,81.72,858100,QRVO
2018-06-27,81.81,82.32,79.88,79.89,79.89,670700,QRVO
2018-06-28,79.62,80.63,79.31,80.48,80.48,597300,QRVO
2018-06-29,80.83,81.35,80.1,80.17,80.17,981500,QRVO
2018-07-02,79.75,80.29,78.76,80.1,80.1,710400,QRVO
2018-07-03,80.2,80.22,77.0,77.44,77.44,938100,QRVO
2018-07-05,79.51,82.04,78.606,81.82,81.82,2329300,QRVO
2018-07-06,81.77,81.908,80.06,81.53,81.53,774400,QRVO
2018-07-09,82.01,82.74,81.13,82.58,82.58,771500,QRVO
2018-07-10,82.3,83.41,82.05,83.29,83.29,639100,QRVO
2018-07-11,82.56,82.6,80.2,80.26,80.26,665100,QRVO
2018-07-12,80.47,82.06,80.05,81.98,81.98,1184700,QRVO
2018-07-13,81.84,82.58,81.17,81.37,81.37,626000,QRVO
2018-07-16,81.72,82.344,81.21,81.33,81.33,598500,QRVO
2018-07-17,81.21,82.75,80.76,82.72,82.72,742000,QRVO
2018-07-18,82.8,83.5,82.13,82.4,82.4,985300,QRVO
2018-07-19,82.36,84.21,82.28,83.76,83.76,1360000,QRVO
2018-07-20,84.3,85.24,81.06,81.2,81.2,1618800,QRVO
2018-07-23,80.79,82.68,79.69,82.54,82.54,1127700,QRVO
2018-07-24,83.24,83.73,81.0,81.22,81.22,858500,QRVO
2018-07-25,81.02,81.6,79.6,81.25,81.25,998100,QRVO
2018-07-26,81.22,82.455,80.755,82.2,82.2,843200,QRVO
2018-07-27,82.54,82.96,80.875,81.72,81.72,713700,QRVO
2018-07-30,81.4,81.695,79.95,80.83,80.83,1140100,QRVO
2018-07-31,81.42,82.34,80.63,81.76,81.76,768400,QRVO
2018-08-01,82.66,83.3,81.37,82.18,82.18,2660400,QRVO
2018-08-02,79.0,84.91,79.0,84.41,84.41,2535600,QRVO
2018-08-03,84.7,84.7,83.51,84.18,84.18,846800,QRVO
2018-08-06,83.46,85.37,82.59,85.2,85.2,942600,QRVO
2018-08-07,85.21,86.496,84.771,86.06,86.06,1310600,QRVO
2018-08-08,85.67,86.47,85.38,85.55,85.55,502300,QRVO
2018-08-09,85.0,86.04,84.5,85.51,85.51,684100,QRVO
2018-08-10,84.69,84.69,82.68,83.19,83.19,1277500,QRVO
2018-08-13,83.0,84.05,82.7,83.11,83.11,939900,QRVO
2018-08-14,83.52,83.96,82.215,82.79,82.79,1534700,QRVO
2018-08-15,82.33,82.418,81.11,81.95,81.95,1933900,QRVO
2018-08-16,82.6,82.6,81.45,82.16,82.16,1065400,QRVO
2018-08-17,81.57,81.98,80.74,81.5,81.5,1278200,QRVO
2018-08-20,81.71,81.86,78.12,78.18,78.18,1706600,QRVO
2018-08-21,78.72,81.295,78.62,81.1,81.1,2007100,QRVO
2018-08-22,80.75,81.205,79.97,80.62,80.62,787500,QRVO
2018-08-23,80.26,80.79,78.97,79.2,79.2,977500,QRVO
2018-08-24,79.56,79.99,79.16,79.63,79.63,702300,QRVO
2018-08-27,79.8,80.49,79.41,79.59,79.59,1141800,QRVO
2018-08-28,79.91,80.209,79.01,79.83,79.83,832400,QRVO
2018-08-29,79.93,80.49,79.295,80.29,80.29,768500,QRVO
2018-08-30,80.04,80.56,79.21,79.4,79.4,663400,QRVO
2018-08-31,79.4,80.485,79.4,80.09,80.09,954800,QRVO
2018-09-04,79.88,80.84,79.52,80.28,80.28,1247200,QRVO
2018-09-05,80.42,80.49,79.37,79.68,79.68,665700,QRVO
2018-09-06,79.55,79.93,75.09,75.13,75.13,1998500,QRVO
2018-09-07,74.0,76.485,73.52,74.95,74.95,2422300,QRVO
2018-09-10,74.88,74.9,73.52,73.98,73.98,708500,QRVO
2018-09-11,73.52,73.97,72.31,73.37,73.37,1306000,QRVO
2018-09-12,72.88,73.53,71.537,73.46,73.46,1273000,QRVO
2018-09-13,74.55,75.98,73.67,75.3,75.3,1632500,QRVO
2018-09-14,75.75,76.4,75.29,75.74,75.74,766500,QRVO
2018-09-17,75.38,75.99,73.79,73.97,73.97,1090800,QRVO
2018-09-18,74.27,75.53,74.1,75.04,75.04,997500,QRVO
2018-09-19,75.11,77.14,75.11,76.81,76.81,1060300,QRVO
2018-09-20,77.55,79.07,77.27,78.67,78.67,1422800,QRVO
2018-09-21,78.98,79.29,78.12,78.62,78.62,2267900,QRVO
2018-09-24,78.02,78.86,76.82,78.45,78.45,798600,QRVO
2018-09-25,78.25,78.25,75.32,76.25,76.25,1153200,QRVO
2018-09-26,75.75,76.2,74.63,75.06,75.06,914100,QRVO
2018-09-27,75.12,75.47,74.6,74.72,74.72,876600,QRVO
2018-09-28,74.57,76.955,74.07,76.89,76.89,1030500,QRVO
2018-10-01,77.19,78.31,76.66,77.1,77.1,1188200,QRVO
2018-10-02,77.28,78.69,77.243,77.29,77.29,915000,QRVO
2018-10-03,77.37,77.875,75.06,76.25,76.25,1212400,QRVO
