Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2014-09-19,92.7,99.7,89.95,93.89,93.89,271879400,BABA
2014-09-22,92.7,92.95,89.5,89.89,89.89,66657800,BABA
2014-09-23,88.94,90.48,86.62,87.17,87.17,39009800,BABA
2014-09-24,88.47,90.57,87.22,90.57,90.57,32088000,BABA
2014-09-25,91.09,91.5,88.5,88.92,88.92,28598000,BABA
2014-09-26,89.73,90.46,88.66,90.46,90.46,18340000,BABA
2014-09-29,89.62,89.7,88.02,88.75,88.75,25302000,BABA
2014-09-30,89.0,90.88,88.46,88.85,88.85,24419400,BABA
2014-10-01,88.7,88.94,86.04,86.1,86.1,24029600,BABA
2014-10-02,86.27,88.2,85.611,87.06,87.06,21469700,BABA
2014-10-03,88.1,89.94,87.65,88.1,88.1,18485700,BABA
2014-10-06,89.15,89.65,88.06,88.31,88.31,9268400,BABA
2014-10-07,87.95,89.7,87.06,87.67,87.67,12791700,BABA
2014-10-08,88.0,88.5,87.06,88.3,88.3,10252600,BABA
2014-10-09,88.51,90.35,88.0,88.79,88.79,21507000,BABA
2014-10-10,88.25,88.74,85.24,85.88,85.88,15431400,BABA
2014-10-13,86.85,86.89,84.92,85.12,85.12,14845000,BABA
2014-10-14,85.81,85.88,83.22,84.95,84.95,15559200,BABA
2014-10-15,84.04,86.49,82.81,85.6,85.6,16824300,BABA
2014-10-16,84.98,89.175,84.015,88.85,88.85,15232000,BABA
2014-10-17,90.4,90.9,87.67,87.91,87.91,17360700,BABA
2014-10-20,88.0,89.5,87.86,88.26,88.26,9891400,BABA
2014-10-21,89.1,92.5,88.5,90.9,90.9,23243800,BABA
2014-10-22,92.25,93.5,91.01,91.63,91.63,20364500,BABA
2014-10-23,92.92,94.7,92.82,94.45,94.45,20641000,BABA
2014-10-24,95.07,98.0,94.78,95.76,95.76,32132600,BABA
2014-10-27,97.0,98.85,96.3,97.79,97.79,28302400,BABA
2014-10-28,99.84,100.67,98.61,99.68,99.68,32127600,BABA
2014-10-29,99.88,100.0,96.82,98.31,98.31,28655400,BABA
2014-10-30,98.48,99.44,97.3,98.73,98.73,15484600,BABA
2014-10-31,100.1,100.22,98.136,98.6,98.6,18128300,BABA
2014-11-03,99.67,102.8,99.05,101.8,101.8,40883700,BABA
2014-11-04,100.425,106.359,99.51,106.07,106.07,67814000,BABA
2014-11-05,108.48,110.14,106.48,108.67,108.67,48344000,BABA
2014-11-06,109.3,111.7,107.21,111.57,111.57,33609000,BABA
2014-11-07,112.93,114.77,111.75,114.56,114.56,51457000,BABA
2014-11-10,117.27,119.45,115.2,119.15,119.15,75971000,BABA
2014-11-11,117.25,117.55,113.69,114.54,114.54,70983600,BABA
2014-11-12,115.05,119.07,114.02,118.2,118.2,53908000,BABA
2014-11-13,119.3,120.0,114.55,114.84,114.84,62163000,BABA
2014-11-14,115.06,115.39,113.35,115.1,115.1,29849000,BABA
2014-11-17,115.44,115.63,113.13,114.25,114.25,22573000,BABA
2014-11-18,114.33,114.38,110.41,110.81,110.81,41098000,BABA
2014-11-19,109.83,110.68,107.22,108.82,108.82,46841000,BABA
2014-11-20,107.81,112.44,107.26,109.82,109.82,36489000,BABA
2014-11-21,113.21,113.5,110.435,110.73,110.73,27432000,BABA
2014-11-24,112.0,113.93,111.55,113.92,113.92,20646000,BABA
2014-11-25,114.94,115.17,112.33,113.47,113.47,23485000,BABA
2014-11-26,113.33,113.74,112.33,112.67,112.67,11794700,BABA
2014-11-28,113.14,113.23,111.11,111.64,111.64,8077800,BABA
2014-12-01,110.02,110.05,103.896,105.99,105.99,38464200,BABA
2014-12-02,107.35,110.0,106.61,109.89,109.89,18785000,BABA
2014-12-03,110.4,111.68,108.798,110.64,110.64,16221100,BABA
2014-12-04,110.1,110.5,108.91,109.17,109.17,10779300,BABA
2014-12-05,109.6,110.35,107.76,107.9,107.9,12148100,BABA
2014-12-08,105.97,107.4,104.21,105.07,105.07,19217300,BABA
2014-12-09,102.27,107.95,101.2,107.48,107.48,24866800,BABA
2014-12-10,107.09,107.38,103.51,103.88,103.88,18466700,BABA
2014-12-11,104.44,106.84,104.29,104.97,104.97,15684300,BABA
2014-12-12,104.7,107.45,104.179,105.11,105.11,14537600,BABA
2014-12-15,106.39,107.77,103.7,104.7,104.7,16521800,BABA
2014-12-16,103.75,107.68,103.7,105.77,105.77,21700600,BABA
2014-12-17,107.11,109.19,106.28,109.02,109.02,17311100,BABA
2014-12-18,110.58,111.2,108.26,109.25,109.25,22788100,BABA
2014-12-19,109.93,110.65,108.04,110.65,110.65,14857800,BABA
2014-12-22,110.63,110.98,108.53,108.77,108.77,13041200,BABA
2014-12-23,108.3,108.47,103.88,105.52,105.52,19096300,BABA
2014-12-24,105.68,107.21,105.6,105.95,105.95,5870400,BABA
2014-12-26,105.99,106.94,105.5,105.95,105.95,6529100,BABA
2014-12-29,105.95,107.66,105.64,105.98,105.98,8068600,BABA
2014-12-30,105.64,106.71,105.13,105.75,105.75,10205700,BABA
2014-12-31,106.46,106.47,103.69,103.94,103.94,10221600,BABA
2015-01-02,104.24,104.72,102.52,103.6,103.6,12303400,BABA
2015-01-05,102.76,103.02,99.9,101.0,101.0,18337000,BABA
2015-01-06,101.25,103.85,100.11,103.32,103.32,15720400,BABA
2015-01-07,104.59,104.74,102.03,102.13,102.13,11052200,BABA
2015-01-08,102.95,105.34,102.68,105.03,105.03,12942100,BABA
2015-01-09,105.24,105.3,102.89,103.02,103.02,10222200,BABA
2015-01-12,103.2,103.36,101.21,101.62,101.62,7997200,BABA
2015-01-13,102.59,102.85,100.01,100.77,100.77,11294400,BABA
2015-01-14,99.28,100.18,98.06,99.58,99.58,17808000,BABA
2015-01-15,99.67,100.14,96.02,96.31,96.31,18260100,BABA
2015-01-16,96.09,97.8,95.52,96.89,96.89,13327900,BABA
2015-01-20,98.3,100.21,97.59,100.04,100.04,12105600,BABA
2015-01-21,100.75,103.86,100.32,103.29,103.29,15186900,BABA
2015-01-22,104.6,104.92,103.1,104.0,104.0,11433000,BABA
2015-01-23,104.02,105.2,103.02,103.11,103.11,9873800,BABA
2015-01-26,104.4,105.13,103.33,103.99,103.99,10664900,BABA
2015-01-27,102.89,103.57,100.58,102.94,102.94,15659900,BABA
2015-01-28,100.3,101.49,97.79,98.45,98.45,42144700,BABA
2015-01-29,90.53,90.74,87.36,89.81,89.81,76561400,BABA
2015-01-30,89.6,92.0,88.11,89.08,89.08,36806900,BABA
