Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-12-01,11.89,11.89,11.89,11.89,11.89,500,GRAB
2020-12-02,12.48,12.48,11.82,11.82,11.82,1000,GRAB
2020-12-03,11.82,11.9,11.8,11.9,11.9,14100,GRAB
2020-12-04,12.99,13.98,11.5,12.4,12.4,15500,GRAB
2020-12-07,13.15,14.0,12.2,12.55,12.55,14500,GRAB
2020-12-08,12.99,13.44,12.25,12.377,12.377,14900,GRAB
2020-12-09,12.338,13.0,12.3,12.7,12.7,39600,GRAB
2020-12-10,12.5,13.1,12.12,12.65,12.65,27200,GRAB
2020-12-11,12.775,13.2,12.5,12.75,12.75,37100,GRAB
2020-12-14,12.95,13.5,12.85,13.2,13.2,51500,GRAB
2020-12-15,13.38,13.45,12.69,12.692,12.692,35100,GRAB
2020-12-16,13.18,13.18,12.55,12.61,12.61,47800,GRAB
2020-12-17,13.09,13.44,12.8,13.19,13.19,28200,GRAB
2020-12-18,13.75,13.75,12.9,13.04,13.04,48400,GRAB
2020-12-21,13.5,13.5,13.25,13.488,13.488,25400,GRAB
2020-12-22,13.52,13.92,13.146,13.62,13.62,48700,GRAB
2020-12-23,14.0,14.0,13.28,13.29,13.29,84600,GRAB
2020-12-24,13.29,14.62,13.23,13.32,13.32,33900,GRAB
2020-12-28,13.5,13.5,12.9,12.9,12.9,91300,GRAB
2020-12-29,12.96,13.25,12.85,12.94,12.94,149100,GRAB
2020-12-30,13.39,13.39,13.0,13.2,13.2,22100,GRAB
2020-12-31,13.44,13.9,12.61,12.86,12.86,33200,GRAB
2021-01-04,13.99,13.99,12.63,12.95,12.95,36700,GRAB
2021-01-05,12.78,13.22,12.61,12.85,12.85,20600,GRAB
2021-01-06,12.84,12.99,12.7,12.85,12.85,159400,GRAB
2021-01-07,13.0,13.94,12.91,13.75,13.75,261500,GRAB
2021-01-08,14.17,14.99,13.4,13.815,13.815,168000,GRAB
2021-01-11,13.9,14.5,13.8,14.01,14.01,198100,GRAB
2021-01-12,14.11,14.5,14.11,14.25,14.25,77600,GRAB
2021-01-13,14.44,14.567,14.02,14.03,14.03,276100,GRAB
2021-01-14,15.02,15.61,14.0,14.39,14.39,230000,GRAB
2021-01-15,14.72,15.2,14.47,14.85,14.85,215300,GRAB
2021-01-19,15.14,15.83,14.65,14.73,14.73,97500,GRAB
2021-01-20,14.96,15.34,14.57,14.88,14.88,38000,GRAB
2021-01-21,14.92,17.25,14.54,16.5,16.5,583500,GRAB
2021-01-22,17.26,18.109,15.55,16.75,16.75,504000,GRAB
2021-01-25,15.7,16.26,14.8,15.22,15.22,510600,GRAB
2021-01-26,15.35,15.707,14.31,14.47,14.47,143800,GRAB
2021-01-27,14.38,14.38,12.62,12.77,12.77,409000,GRAB
2021-01-28,13.13,14.89,13.01,14.0,14.0,197200,GRAB
2021-01-29,13.91,14.23,13.5,13.9,13.9,93700,GRAB
2021-02-01,14.17,14.747,13.93,14.12,14.12,134700,GRAB
2021-02-02,14.38,14.73,14.13,14.4,14.4,159600,GRAB
2021-02-03,14.55,14.99,14.26,14.4,14.4,178400,GRAB
